taxon_id,chr,length,name,assembly
559292,chrUn,999999999,S288c
559292,chrI,230218,S288c
559292,chrII,813184,S288c
559292,chrIII,316620,S288c
559292,chrIV,1531933,S288c
559292,chrIX,439888,S288c
559292,chrMito,85779,S288c
559292,chrV,576874,S288c
559292,chrVI,270161,S288c
559292,chrVII,1090940,S288c
559292,chrVIII,562643,S288c
559292,chrX,745751,S288c
559292,chrXI,666816,S288c
559292,chrXII,1078177,S288c
559292,chrXIII,924431,S288c
559292,chrXIV,784333,S288c
559292,chrXV,1091291,S288c
559292,chrXVI,948066,S288c
285006,chrUn,999999999,RM11_1a
285006,CH408043,1481020,RM11_1a
285006,CH408044,1074767,RM11_1a
285006,CH408045,1056105,RM11_1a
285006,CH408046,916809,RM11_1a
285006,CH408047,920105,RM11_1a
285006,CH408048,795018,RM11_1a
285006,CH408049,784941,RM11_1a
285006,CH408050,723081,RM11_1a
285006,CH408051,668618,RM11_1a
285006,CH408052,550861,RM11_1a
285006,CH408053,536628,RM11_1a
285006,CH408054,469589,RM11_1a
285006,CH408055,412858,RM11_1a
285006,CH408056,307626,RM11_1a
285006,CH408057,255049,RM11_1a
285006,CH408058,197696,RM11_1a
285006,DS981519,586214,RM11_1a
658763,chrUn,999999999,Sigma1278b
658763,CM000921,206081,Sigma1278b
658763,CM000922,820528,Sigma1278b
658763,CM000923,319571,Sigma1278b
658763,CM000924,1489402,Sigma1278b
658763,CM000925,589030,Sigma1278b
658763,CM000926,253882,Sigma1278b
658763,CM000927,1068013,Sigma1278b
658763,CM000928,567693,Sigma1278b
658763,CM000929,421852,Sigma1278b
658763,CM000930,746105,Sigma1278b
658763,CM000931,677345,Sigma1278b
658763,CM000932,1095996,Sigma1278b
658763,CM000933,928044,Sigma1278b
658763,CM000934,774827,Sigma1278b
658763,CM000935,1082447,Sigma1278b
658763,CM000936,905115,Sigma1278b
307796,chrUn,999999999,YJM789
226125,chrUn,999999999,Spar
574961,chrUn,999999999,JAY291
643680,chrUn,999999999,EC1118
721032,chrUn,999999999,Kyokai_no_7
929585,chrUn,999999999,T7
7227,chrUn,999999999,Dmel
7227,chr2L,23011544,Dmel
7227,chr2R,21146708,Dmel
7227,chr3L,24543557,Dmel
7227,chr3R,27905053,Dmel
7227,chrX,22422827,Dmel
7240,chrUn,999999999,Dsim
7240,chr2L,22036055,Dsim
7240,chr2R,19596830,Dsim
7240,chr3L,22553184,Dsim
7240,chr3R,27517382,Dsim
7240,chr4,949497,Dsim
7240,chrX,17042790,Dsim
7238,chrUn,999999999,Dsech
3702,chrUn,999999999,Atha
3702,chr1,30427671,Atha
3702,chr2,19698289,Atha
3702,chr3,23459830,Atha
3702,chr4,18585056,Atha
3702,chr5,26975502,Atha
59689,chrUn,999999999,Alyr
59689,chr1,33132539,Alyr
59689,chr2,19320864,Alyr
59689,chr3,24464547,Alyr
59689,chr4,23328337,Alyr
59689,chr5,21221946,Alyr
59689,chr6,25113588,Alyr
59689,chr7,24649197,Alyr
59689,chr8,22951293,Alyr
